##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Undetermined_S0_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14760166
Total Bases	1.4 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1108	44-45	0.07723047311161224
1108	46-47	0.027098589544941376
1108	48-49	0.038070480649388116
1108	50-51	0.020949920397448807
1108	52-53	0.016777935319623793
1108	54-55	0.06008892187908543
1108	56-57	-0.05130863723745449
1108	58-59	0.03251227689504077
1108	60-61	0.02472990222024407
1108	62-63	0.11288598862527977
1108	64-65	0.05895768366252696
1108	66-67	0.07166578879548524
1108	68-69	0.049609499744526886
1108	70-71	0.1567829760900068
1108	72-73	0.20095925931752134
1108	74-75	0.18509185570623998
1108	76-77	0.3367113061469311
1108	78-79	0.2728447854450593
1108	80-81	0.36102543565344547
1108	82-83	0.32601249644093855
1108	84-85	0.4234322413803966
1108	86-87	0.2931245993765472
1108	88-89	0.5518319073979399
1108	90-91	0.6028778182236749
1108	92-93	0.7140452411519007
1108	94-95	0.7008361992666181
1108	96-97	0.748712742809964
1108	98-99	0.840970709323102
1108	100-101	0.6628654638846427
1109	1	-0.5170940848395915
1109	2	0.06239348977657144
1109	3	0.0016057084160863155
1109	4	0.15182207646279977
1109	5	0.22259955930135078
1109	6	0.20621579937962764
1109	7	0.25093769463151716
1109	8	0.160345371253527
1109	9	0.17682247347529056
1109	10-11	0.076696209068146
1109	12-13	0.135282928859354
1109	14-15	0.16966175584841636
1109	16-17	0.14048770244136222
1109	18-19	0.09346846905727801
1109	20-21	0.21028243475927155
1109	22-23	0.2070078920910845
1109	24-25	0.21214415665777153
1109	26-27	0.2600191115790196
1109	28-29	0.18865412435826556
1109	30-31	0.24918624402691592
1109	32-33	0.21326401345954338
1109	34-35	0.16555252185109737
1109	36-37	0.15952759812056172
1109	38-39	0.21296437927779266
1109	40-41	0.15235051654860143
1109	42-43	0.21148016913621603
1109	44-45	0.1600354532795336
1109	46-47	0.21641779852930654
1109	48-49	0.21401177702327345
1109	50-51	0.16368127323399762
1109	52-53	0.1836543831636135
1109	54-55	0.18318417802370135
1109	56-57	0.22266991905522104
1109	58-59	0.14108655533425463
1109	60-61	0.20509248422230542
1109	62-63	0.20659919306832109
1109	64-65	0.16743307339334024
1109	66-67	0.18201912239394602
1109	68-69	0.17807415397166437
1109	70-71	0.34942338959392316
1109	72-73	0.30651123025868543
1109	74-75	0.3028608946889264
1109	76-77	0.2252427551932641
1109	78-79	0.27821712523356723
1109	80-81	0.4389718622148706
1109	82-83	0.46186201429593865
1109	84-85	0.5690972874378488
1109	86-87	0.585446375657888
1109	88-89	0.7492533808645021
1109	90-91	0.7664560751663814
1109	92-93	0.9176216712828804
1109	94-95	0.9760181563978847
1109	96-97	0.805805923365611
1109	98-99	1.0327899776031515
1109	100-101	0.9015124696655121
1110	1	-0.3146333378863986
1110	2	0.08729123764410929
1110	3	0.01956898666914242
1110	4	0.11690917508214227
1110	5	0.26982579195544076
1110	6	0.3085380542519047
1110	7	0.2626768626345566
1110	8	0.19536985605688528
1110	9	0.29482656186934975
1110	10-11	0.2041629278933499
1110	12-13	0.16827980872599113
1110	14-15	0.1953437779691214
1110	16-17	0.24875851711232855
1110	18-19	0.19535567158028044
1110	20-21	0.18246294755051196
1110	22-23	0.27857409643586095
1110	24-25	0.2922835848145766
1110	26-27	0.29089442657893727
1110	28-29	0.29878571976622936
1110	30-31	0.33822263398326413
1110	32-33	0.3538409003955607
1110	34-35	0.21911344240241704
1110	36-37	0.26446228113882597
1110	38-39	0.19129137823286158
1110	40-41	0.2407421595767616
1110	42-43	0.2570265132973617
1110	44-45	0.2960731473359033
1110	46-47	0.2195027297473331
1110	48-49	0.28776414648937276
1110	50-51	0.1967842848358501
1110	52-53	0.3725440798048112
1110	54-55	0.27979374346360686
1110	56-57	0.3674739394101678
1110	58-59	0.3309869153993148
1110	60-61	0.3362761584541616
1110	62-63	0.3132367949162145
1110	64-65	0.3902657258828697
1110	66-67	0.3850832641686708
1110	68-69	0.34494408124371745
1110	70-71	0.4308912998210417
1110	72-73	0.5514879326547728
1110	74-75	0.5349702436756942
1110	76-77	0.5836213736211064
1110	78-79	0.625337393995224
1110	80-81	0.5163247990049626
1110	82-83	0.48983234220232674
1110	84-85	0.6505190216797274
1110	86-87	0.6779537160251721
1110	88-89	0.8847110819964072
1110	90-91	0.8849206101391047
1110	92-93	1.0908342365628343
1110	94-95	1.1752425548762417
1110	96-97	1.1192608046874355
1110	98-99	1.3153059494459498
1110	100-101	1.1408472456609928
1111	1	-0.3297770234606716
1111	2	0.06891752532375506
1111	3	0.0424349930536394
1111	4	0.14429317485505067
1111	5	0.19964302462298633
1111	6	0.335574578288103
1111	7	0.23611137981704644
1111	8	0.3245817274435865
1111	9	0.22529997525307977
1111	10-11	0.2052198745694156
1111	12-13	0.26447292738100003
1111	14-15	0.23813723607437254
1111	16-17	0.23236721413936579
1111	18-19	0.1993988145100687
1111	20-21	0.2695918753987101
1111	22-23	0.22351592934192865
1111	24-25	0.2557986063696589
1111	26-27	0.24381402114222084
1111	28-29	0.28327592970649107
1111	30-31	0.3215031493348164
1111	32-33	0.3005129500922621
1111	34-35	0.28332029498503886
1111	36-37	0.2153548121481279
1111	38-39	0.21237754334472925
1111	40-41	0.24822948159133063
1111	42-43	0.19644355243463707
1111	44-45	0.30368670912761786
1111	46-47	0.24698304328222065
1111	48-49	0.26664860326670947
1111	50-51	0.2569773073727788
1111	52-53	0.2516608115103409
1111	54-55	0.2673736905391806
1111	56-57	0.31321979589637294
1111	58-59	0.2978965046025337
1111	60-61	0.3470875380418903
1111	62-63	0.38127936948652774
1111	64-65	0.32915942502429374
1111	66-67	0.2720678244320993
1111	68-69	0.3616546298327137
1111	70-71	0.44253597673696277
1111	72-73	0.45650928318374184
1111	74-75	0.5491178782316126
1111	76-77	0.5239468903940789
1111	78-79	0.5447967162176823
1111	80-81	0.6610733729925116
1111	82-83	0.6590816865956057
1111	84-85	0.6843085715048005
1111	86-87	0.7345845382657927
1111	88-89	0.9048583868704441
1111	90-91	0.9125372475007154
1111	92-93	1.1287236765565538
1111	94-95	1.1526693903350278
1111	96-97	1.0882935233451079
1111	98-99	1.2880875211571308
1111	100-101	1.0223562844133767
1112	1	-0.3935269271495976
1112	2	0.13166210788541122
1112	3	0.10732715398238213
1112	4	0.15904363167867785
1112	5	0.2079791838737748
1112	6	0.28443252714605194
1112	7	0.2906686691304401
1112	8	0.2366393742573294
1112	9	0.1919686751534826
1112	10-11	0.14023569296937666
1112	12-13	0.12861462688855596
1112	14-15	0.13210260031412702
1112	16-17	0.2229109234330764
1112	18-19	0.17488390127564202
1112	20-21	0.17153541301297537
1112	22-23	0.18285461352817833
1112	24-25	0.2061232777309172
1112	26-27	0.2927828704159481
1112	28-29	0.2583954307406202
1112	30-31	0.24557689048172904
1112	32-33	0.2774783538869414
1112	34-35	0.23381202444018356
1112	36-37	0.23133682203257422
